,All,M,F
"PCC(pred,target)",0.7854921956296657,0.7911860442701358,0.7884643955321299
"p(pred,target)",1.4672354938739182e-89,2.2066799613826196e-56,3.109626595159001e-36
MAE,1.4808454844597159,1.3702568986381323,1.6530955848
SD MAE,1.3556446611198076,1.1894764132564144,1.5645385139103771
mean res,-0.17592020981990522,0.14755381064591439,-0.6797555023030303
"PCC(age,res)",0.09672259894904349,0.10810040094944588,-0.057728184732350904
"p(age,res)",0.047066453200240915,0.0837008132453801,0.46142092105811844
"PCC(target,res)",0.0749372586459709,0.12107378351026135,0.04493063279357464
"p(target,res)",0.12429215746471378,0.052545648770586297,0.566613332485157
"PCC(sex(M),res)",0.2018593049649755,,
"p(sex(M),res)",2.947254333707112e-05,,
"Mean pace (all,>=1,>=5)",0.6143994453989057,1.076771089206467,1.0029268173129453
"SD pace (all,>=1,>=5)",8.310101215506204,0.5913332452096803,0.3437792065325916
"PCC(pace,target), >= 1y",-0.10724751997492023,,
"p(pace,target), >= 1y",0.03156991504272329,,
