,All,M,F
"PCC(pred,target)",0.8076515842711646,0.8032796484015934,0.8427092098489373
"p(pred,target)",2.1626555400311302e-98,2.5484778445587615e-59,1.082636950904153e-45
MAE,1.2029216853270142,1.0505343231284048,1.4402765464484848
SD MAE,1.3480403130909286,1.1618577263382532,1.5660649891960825
mean res,-0.34302654504265406,0.06560077943968871,-0.9794945595393938
"PCC(age,res)",0.26404667285639916,0.14358167467191318,0.22372355095727117
"p(age,res)",3.667724940839998e-08,0.021306329159156933,0.0038691122074989174
"PCC(target,res)",0.15924833165005,0.3719826689803311,-0.03965806494358823
"p(target,res)",0.0010283632023826838,7.431883468658653e-10,0.6130368242802116
"PCC(sex(M),res)",0.28749716531776065,,
"p(sex(M),res)",1.7888386203510443e-09,,
"Mean pace (all,>=1,>=5)",3.1993984069285717,1.1644634083219774,1.0060928710154344
"SD pace (all,>=1,>=5)",27.35302240613165,0.6452518108352185,0.2938440491289211
"PCC(pace,target), >= 1y",-0.24820666438085526,,
"p(pace,target), >= 1y",4.6524735072090565e-07,,
