Target (Train),Prediction (Train)
70.77,63.228855
69.55,63.03143
91.79,67.69339
72.31,64.25944
67.86,60.393284
72.11,65.947136
72.84,63.7866
52.18,60.065086
55.2,64.71334
75.25,60.928406
75.28,67.00649
70.14,63.496952
67.8,64.10888
57.94,54.371426
52.55,60.828228
83.14,66.736984
65.09,62.4989
59.03,62.13317
73.32,65.249664
61.64,65.22418
67.17,65.19795
69.12,63.379063
67.15,62.311897
46.12,61.87794
48.42,56.33253
80.53,68.54839
67.11,64.83307
67.98,64.69753
80.54,69.59706
55.24,59.41498
74.55,65.69298
79.5,64.97934
68.12,64.17536
46.87,54.204506
74.84,65.61864
57.8,63.537266
76.62,65.242294
62.51,63.70865
71.67,63.905964
63.7,64.7774
65.81,62.23949
71.65,62.541103
54.72,61.008442
67.17,63.0301
72.51,66.389565
64.02,63.104824
58.71,64.15015
48.07,52.202892
64.52,64.1077
67.89,64.363884
59.73,61.295338
67.49,64.424805
69.39,66.00143
67.31,63.40153
52.47,61.41609
68.12,62.87826
69.59,66.99955
70.78,63.6731
51.7,54.76731
66.52,67.01943
59.8,62.17445
75.53,65.8737
69.0,61.889046
72.43,67.07838
53.22,64.881424
70.32,66.50766
75.45,68.30972
73.3,66.94996
63.87,59.93845
60.06,65.13623
70.93,64.33939
73.61,64.33773
58.29,69.67939
62.54,58.961296
52.39,61.622932
74.34,66.892876
68.1,53.637115
54.12,65.08799
66.22,63.21295
77.11,67.52298
74.25,66.23929
64.94,63.950577
67.78,65.44514
46.34,59.00193
55.13,62.458355
65.26,62.569416
81.65,68.63963
74.6,69.51587
43.49,61.569553
68.24,60.019917
69.41,66.0742
82.7,72.54194
49.51,56.95262
86.03,63.116287
65.5,61.177628
65.28,59.75397
73.39,67.28406
60.06,63.433002
72.59,68.5244
64.43,60.400806
59.52,65.59322
65.08,64.18358
70.93,64.918785
55.92,58.492805
67.21,64.167755
77.04,68.379616
70.18,63.929226
75.68,62.552437
82.9,68.84962
80.6,67.48219
68.35,64.17165
56.7,61.728043
69.12,65.56845
71.21,68.520195
69.0,69.48647
60.75,60.2346
67.25,61.06813
68.18,63.38707
85.37,66.908676
69.82,56.987488
68.77,66.6757
66.17,63.710518
81.31,67.4001
58.75,58.533367
69.41,63.219536
48.03,66.51302
67.81,64.22317
61.65,62.213528
57.0,61.254387
63.16,58.023754
74.66,65.28356
82.8,65.50175
66.06,59.80239
75.75,65.5
68.16,63.396713
67.8,61.855434
51.51,60.79762
70.97,63.359776
75.97,65.34708
75.41,66.0771
77.44,66.30047
76.66,66.50461
66.41,64.05746
68.53,54.533463
65.58,64.44475
58.46,63.69848
78.82,72.74416
78.72,68.1473
61.0,61.830734
71.44,63.03402
61.5,63.211857
69.47,65.65672
69.68,66.8301
61.25,64.55996
73.69,63.540943
71.98,67.71379
79.11,65.26379
65.33,64.70245
51.04,61.674442
56.54,61.847694
65.86,62.60485
55.4,63.800266
62.71,61.45928
64.43,53.854874
59.21,64.033295
48.18,57.4919
46.12,60.692734
67.06,62.64472
73.42,74.911865
72.39,62.764862
81.98,66.65955
63.85,64.6435
61.18,61.828842
75.62,69.90435
75.58,67.944305
54.66,62.7699
83.3,67.15408
66.33,62.38812
73.16,65.49315
68.11,56.962315
75.14,64.17558
52.24,51.882763
47.82,59.37046
61.29,68.23982
65.92,60.766987
53.58,55.68939
75.68,63.64882
48.59,64.310074
68.93,62.467667
69.73,61.59188
62.81,59.099663
64.34,64.2362
92.97,74.9452
68.96,59.140854
67.44,60.311104
67.92,59.637367
85.42,73.2894
72.37,65.440636
56.84,63.563866
50.47,57.62129
45.92,61.329285
69.53,71.688614
52.98,62.33031
60.47,62.454113
66.85,67.161766
69.31,65.708664
68.12,65.260574
56.45,61.819706
48.89,58.88102
62.92,66.4187
69.19,62.25205
72.38,62.733875
71.65,58.009468
66.7,66.675514
74.33,63.49666
84.9,67.38683
60.07,62.19113
61.46,61.483585
75.1,67.54301
90.94,69.6484
68.76,62.49299
52.95,65.75291
64.26,59.06284
69.15,67.060036
72.34,58.901203
73.49,61.058205
65.79,60.485695
73.8,63.055035
65.19,64.125595
74.87,75.70769
72.72,67.40469
73.54,64.56243
72.02,68.124825
67.63,63.010338
56.84,63.123825
49.06,62.6005
68.89,62.831657
69.29,66.308716
79.26,67.58682
73.01,59.331238
61.6,66.09404
65.05,64.696846
66.39,59.989017
75.49,64.81849
79.81,70.2697
58.42,62.215126
67.73,63.300503
66.06,62.861633
62.78,65.77333
68.19,64.15105
42.66,61.150055
70.88,61.654346
75.85,65.51913
49.41,58.7408
45.38,57.593292
68.61,64.8506
84.46,67.03877
67.75,62.826836
56.79,67.40946
53.38,63.914215
70.09,63.069046
79.34,67.13098
51.47,56.689175
64.2,65.96039
74.74,66.65876
60.01,60.290546
60.38,64.4214
63.07,61.606274
55.59,58.54322
72.23,64.75797
74.66,67.46053
68.62,63.564423
80.27,63.876884
51.02,61.76793
83.58,65.42678
68.71,64.06184
48.71,57.547894
51.59,55.384884
53.81,58.39737
59.39,61.478764
76.98,66.27231
81.9,63.27552
67.83,68.89814
60.3,62.107525
68.81,64.4228
52.04,57.000107
71.72,66.81876
74.05,68.91115
66.54,63.89334
85.08,69.56367
75.93,67.18866
60.87,57.66811
67.06,65.45796
57.51,58.58953
74.56,68.26457
67.47,62.65855
67.9,65.76735
