Target (Train),Prediction (Train)
60.91,66.369545
70.89,74.88784
68.48,72.81068
79.26,79.96334
58.46,68.00086
63.7,69.34205
68.5,74.86236
67.03,65.37339
58.74,68.93067
70.46,74.20382
75.0,74.660614
67.17,70.03825
92.97,84.414635
78.83,72.857544
60.87,56.08793
70.43,65.78646
81.8,77.68544
69.47,75.31642
65.94,69.51698
59.39,70.44086
68.16,67.421936
72.46,73.44208
58.31,66.263466
55.9,63.897568
62.09,66.61186
69.15,70.1722
77.3,82.104645
62.51,66.94965
59.19,69.87911
64.43,67.06812
71.36,73.01898
62.98,65.49969
73.68,74.98038
71.16,69.1233
68.81,73.313324
75.41,77.432724
65.3,71.11316
57.14,66.42459
64.15,65.739006
56.54,66.71399
76.76,75.12433
75.16,74.552185
86.35,80.666954
71.36,69.796646
75.49,74.56857
72.37,73.32902
66.34,72.58549
66.22,69.427475
73.84,69.77052
75.55,73.053505
67.77,68.79517
49.63,65.510826
82.54,82.58023
78.65,81.24951
67.13,81.110085
69.01,76.417984
78.8,83.52295
79.11,74.08247
71.47,79.59327
76.04,73.66991
74.9,73.045166
67.75,67.72423
63.24,67.8809
80.27,71.367165
73.08,75.60038
62.78,71.14984
71.46,70.25135
51.06,62.545395
85.78,78.86294
65.08,68.03279
66.12,68.74636
73.31,78.081856
76.7,72.04554
84.33,73.32043
67.83,75.10724
54.54,64.5378
77.95,79.77054
60.06,72.50039
63.16,63.982334
67.98,71.37989
68.19,71.425995
71.06,71.94998
87.89,82.737976
48.89,55.881893
73.44,76.84757
77.42,76.53658
60.18,67.47924
80.52,74.337326
77.13,76.58086
70.77,69.83795
68.31,67.92601
74.09,76.94939
69.35,69.010414
73.32,73.33586
67.04,65.933655
66.06,67.38555
74.97,75.733986
68.99,70.43621
78.54,68.043495
71.9,73.01296
71.15,72.615486
81.98,79.19111
57.48,65.89853
82.87,81.567154
80.01,85.186615
79.18,76.965355
48.59,64.26618
75.97,77.08442
79.07,80.06235
83.88,76.34006
67.86,69.46716
65.05,72.23877
81.53,80.92914
83.0,76.635864
69.58,69.78421
81.8,76.70706
52.28,66.222176
51.47,62.38248
66.33,67.756065
64.81,70.29433
70.09,68.237785
89.34,85.0522
73.25,71.70949
74.57,81.518524
55.39,67.74437
72.23,73.46046
79.5,73.45187
73.4,77.4121
60.3,69.98843
85.39,78.54354
83.98,76.99119
79.67,76.51947
68.1,59.12468
71.21,71.98906
71.67,70.52976
64.87,70.94898
79.07,76.90303
54.12,72.36977
86.56,89.049805
77.04,79.19751
67.06,71.84893
91.79,78.15533
57.8,67.944115
69.31,71.286514
66.4,68.64062
57.7,71.86103
67.66,65.96167
61.68,71.14373
61.64,71.79461
67.76,73.7942
68.86,66.38239
75.6,80.06118
83.21,82.04168
80.8,82.52875
70.89,72.815414
66.22,69.635826
68.27,69.45018
75.58,81.36289
75.83,67.221176
78.09,80.90781
73.49,67.6153
55.79,65.039505
74.51,71.1142
84.6,79.18703
48.42,61.089375
80.62,86.31226
68.77,78.596
86.83,80.13482
56.38,66.311455
56.71,67.772995
55.32,63.965076
66.54,68.85721
70.78,73.01744
70.97,71.79648
80.54,81.297005
74.25,70.754906
67.63,68.62439
63.85,69.10537
73.27,77.92009
74.84,75.46042
52.95,69.00379
72.22,68.595535
67.1,71.95365
72.94,71.27298
82.84,80.92982
67.73,71.24533
83.78,78.11091
72.42,78.06123
58.29,75.78693
55.43,65.48629
65.79,65.29777
53.81,63.47017
71.21,77.52197
71.47,74.69617
65.55,73.02569
75.47,73.40716
50.17,64.366455
56.84,67.65795
75.75,71.492805
78.23,74.06488
63.59,62.878624
80.13,76.38926
67.8,67.1301
73.74,74.11179
60.38,70.125755
81.72,73.8294
55.94,63.383823
76.01,72.19453
72.07,66.43014
72.98,74.09468
70.46,68.74705
66.39,62.08829
79.56,68.818565
66.04,70.4648
64.91,65.48726
72.38,70.28423
72.66,75.285805
71.8,69.97345
51.59,53.916607
70.49,67.468285
76.62,73.8586
81.65,79.57047
68.63,71.31729
57.0,63.784214
60.75,63.69761
57.97,69.60784
64.06,68.804436
62.74,70.857574
65.12,67.700096
81.24,71.1355
70.75,73.69589
51.88,65.76618
62.9,70.00034
70.03,71.67626
68.35,65.68297
62.68,70.579384
56.7,64.89617
76.83,68.1765
73.04,71.816895
60.42,66.501656
65.84,72.82076
56.45,66.46052
81.68,76.58652
67.71,67.905685
74.15,67.375305
62.92,68.39465
78.83,72.19103
68.35,71.22572
55.4,69.00974
64.64,74.656746
70.34,69.68223
57.72,62.636917
80.52,79.359276
61.65,65.84776
70.93,80.120384
79.15,77.486885
60.41,68.37688
79.81,74.53517
62.95,68.105095
62.65,69.64769
54.66,64.68995
69.66,69.72015
78.84,83.52583
49.41,59.875786
69.59,69.56198
52.84,62.66362
70.13,71.77605
72.17,80.55475
69.12,72.588005
75.46,76.79016
