,All,M,F
"PCC(pred,target)",0.8457113166008894,0.8289315311953207,0.8578417614572424
"p(pred,target)",7.270866849111657e-226,4.253752394220757e-71,2.1116117189948418e-159
MAE,1.0159261140438018,0.9959114033478259,1.0260434403296794
SD MAE,0.9866974530970287,1.0429510215623305,0.9568449135500592
mean res,0.21357259582068738,-0.039268134144927525,0.3413821955835256
"PCC(age,res)",-0.23504043784005493,-0.29873195268409,-0.20453199024424146
"p(age,res)",8.835032315208747e-12,4.274421844740644e-07,1.4405419058038155e-06
"PCC(target,res)",0.38354833481458367,0.2858978007281483,0.4237426813102725
"p(target,res)",3.3446421062322074e-30,1.3700630176762101e-06,3.3444287953155604e-25
"PCC(sex(M),res)",-0.1284014937120081,,
"p(sex(M),res)",0.0002233502469216242,,
"Mean pace (all,>=1,>=5)",5.393411122192647,0.9897989896923785,0.8889317460667574
"SD pace (all,>=1,>=5)",44.60940888225286,0.3515425323490012,0.2428992405069475
"PCC(pace,target), >= 1y",-0.2722769059197449,,
"p(pace,target), >= 1y",2.671316965637906e-14,,
