Target (Train),Prediction (Train)
12.482192,13.774135
3.1643836,3.2525163
6.808219,7.1014585
10.194521,9.170337
10.087671,12.250262
1.3068494,2.0950227
2.4547944,2.5983253
7.1753426,7.082291
1.2520548,1.936886
9.926027,8.348358
4.9260273,4.739839
1.7917808,2.195631
9.471232,10.461128
1.0876713,1.3513874
6.263014,6.857393
10.821918,11.617713
5.369863,6.2576246
7.712329,6.954326
2.9917808,2.4441113
4.50137,5.50276
8.397261,8.721622
1.9972603,2.4611135
3.7835617,3.6057062
11.882192,11.378364
7.860274,7.871694
0.4410959,3.7816324
12.479452,12.846078
1.7616439,1.3038198
1.7643836,2.678428
5.0438356,5.166758
2.2986302,3.3919454
2.8876712,2.7732368
1.5123287,1.9900796
2.8438356,2.771217
1.0821918,1.0224606
8.745206,9.185283
2.249315,2.2404718
4.4136987,4.8922143
8.961644,10.980836
7.0958905,8.059149
3.7972603,3.9193945
4.057534,3.7116632
4.019178,5.625563
1.9917809,1.8564253
7.268493,6.3870306
5.312329,4.65117
4.027397,1.766733
3.9424658,3.5137477
5.980822,6.8766103
13.443835,11.946016
3.1890411,2.4729924
5.8657537,7.305521
5.1232877,5.509971
2.158904,3.3147588
4.742466,5.4639263
8.353425,7.879801
3.1068494,3.2952268
6.210959,5.4810624
5.969863,5.309638
2.8739727,3.656353
5.523288,5.110996
8.312328,8.067716
8.99452,8.116483
3.0136986,3.789752
1.6082191,2.098153
8.117808,7.7609215
2.1369863,2.6192515
4.4383564,4.4963384
3.449315,2.2981038
2.0082192,2.3589616
3.3479452,3.7151809
5.120548,5.397439
4.638356,7.0966578
7.0410957,6.9673004
3.950685,4.8288465
3.049315,4.3186636
6.509589,7.264448
12.350685,11.060058
3.1260273,3.4190114
5.342466,5.912355
1.9369863,1.6670127
3.8136985,4.034949
11.194521,11.7335825
3.0136986,3.0643673
6.9561644,6.7334914
0.9972603,1.2606541
4.052055,4.1821823
1.2465754,1.5126727
2.3780823,2.2255375
6.7342467,6.0945716
2.528767,3.3052368
3.3890412,3.493337
1.2273972,1.0040544
5.950685,7.2000527
2.950685,2.953251
7.430137,7.384218
11.772603,13.267772
6.213699,6.565525
8.980822,8.009291
3.0712328,4.321621
10.819178,11.747136
9.931507,11.455073
3.3178082,2.390727
10.082191,9.658532
4.391781,4.597799
4.972603,4.753025
5.1945205,5.361476
6.3780823,6.5363264
11.663013,11.60244
1.7205479,2.1288106
3.5041096,4.269337
1.0,1.1870539
7.4082193,8.664816
6.339726,5.7835
14.863013,14.7437525
7.019178,7.267211
6.9123287,6.9172845
3.890411,3.8810344
3.4136987,4.3880033
5.580822,6.45892
7.441096,8.168549
5.120548,5.399148
12.249315,14.495179
5.158904,9.392381
11.731507,12.320209
3.1643836,3.5519166
5.980822,6.4451795
5.4356165,5.2226377
2.2191782,2.7327924
2.8630137,2.670279
1.7863014,0.8498504
5.728767,6.2876587
0.010958904,0.45690233
3.331507,4.1623545
2.5342467,3.6173282
3.3369863,4.830095
3.4767122,4.428061
9.169863,9.749656
6.057534,6.6320724
3.3123288,4.2718534
12.545205,14.418023
0.02739726,0.11885829
7.8356166,8.186184
2.860274,6.4904847
9.646575,10.093429
2.6767123,2.4913154
0.03561644,0.13515802
1.6410959,0.7950038
0.42465752,0.84249413
8.605479,8.537946
2.578082,2.7101932
1.0520548,1.9987217
15.150685,16.564976
2.5232878,3.089438
4.920548,4.9821806
8.980822,9.501348
5.09863,9.568173
6.186301,6.280855
11.545205,14.038058
3.1506848,3.122099
6.0739727,5.629365
3.947945,4.6103706
3.010959,2.474815
0.008219178,0.59638906
7.5671234,8.054715
6.5726027,5.815184
1.9315069,2.4030952
4.052055,3.4808273
3.0219178,2.3459573
9.139726,8.927297
10.131507,10.021071
10.405479,10.1207285
4.920548,5.5515494
9.052054,6.597012
0.9890411,1.1351448
11.849315,12.408
7.569863,7.4011517
5.312329,4.388144
1.4136987,1.1626656
7.9945207,10.091365
3.4630136,3.7680316
3.950685,3.0850563
3.4410958,3.8727407
1.2657534,1.2775004
4.70137,4.2849197
7.868493,7.7855024
2.909589,2.649329
3.0684931,3.9730892
0.021917809,0.7597902
3.720548,5.780429
2.2191782,1.7700775
3.128767,2.9168286
3.3890412,2.5914829
7.3068495,7.5120764
3.1041095,3.1714647
2.8054795,3.008011
3.0246575,4.087088
8.989041,8.688481
9.523288,9.431612
1.7835616,2.8025846
2.8,3.1506538
9.068493,7.487938
8.917809,9.066534
3.550685,4.1298423
2.2821918,3.2914019
0.03561644,0.18904543
9.126027,8.908881
6.09863,5.2441516
4.939726,5.063884
2.9342465,3.0474727
12.117808,12.529305
6.649315,7.121187
1.2,0.88719714
6.638356,5.4312325
9.076713,8.432418
6.391781,5.9708843
0.10958904,0.2718169
1.6136986,1.5893309
5.120548,5.431651
2.1506848,2.7155213
0.4219178,0.9366292
9.553425,9.397868
4.736986,6.1842146
4.2739725,4.7000666
3.969863,3.969521
2.3424656,3.0226598
2.6383562,2.7475352
4.317808,3.3248978
0.002739726,1.359163
10.923287,10.008636
3.4054794,3.5107102
2.7753425,3.3571095
5.3945208,5.697424
6.1945205,5.714309
1.369863,1.4152021
7.358904,6.987167
0.005479452,0.016174525
3.4739726,4.17455
1.8739727,1.9282131
2.6958904,2.8439593
2.350685,3.822028
7.191781,7.0572276
8.249315,6.8675084
5.079452,3.8754294
3.038356,2.660192
6.687671,5.644035
1.0465753,1.3287383
0.77260274,1.4623381
1.0082191,1.4407312
2.339726,2.7258282
0.03561644,0.38579008
2.789041,2.1740775
1.1726028,0.9293772
8.419178,8.923787
5.808219,6.4799004
2.8438356,3.0765386
4.10411,3.533741
5.608219,5.5685606
3.5479453,4.3668423
7.2465754,6.9487615
6.5150685,7.01906
11.90137,9.959066
8.665753,7.079221
0.97534245,1.2427157
2.9808218,3.3180583
6.2465754,6.263071
4.5835614,4.644428
2.6,2.5889215
3.0684931,2.425324
12.309589,12.677009
5.580822,6.2279444
2.090411,2.1104693
7.4958906,7.6007853
1.1917808,1.0129951
3.4356165,3.8751788
3.4849315,3.295598
2.819178,3.5681124
3.1972604,3.6709976
3.430137,3.0846262
1.8465754,2.1940382
1.920548,2.1499865
7.421918,7.88369
3.9452055,4.314199
6.99726,7.6893735
3.4630136,4.611471
1.0356164,1.4448878
0.8082192,1.8655832
7.6931505,7.0868926
5.7780824,7.7560987
5.8767123,6.4675517
0.038356163,0.38315162
2.131507,2.6958723
8.526028,8.873822
6.1424656,5.34196
4.2438354,5.289888
4.131507,5.0365086
2.2876713,3.114305
8.772603,9.556577
2.4958904,3.5238771
5.890411,6.59121
2.5260274,2.7122474
2.9315069,2.9206882
7.8,8.186341
3.528767,3.9341424
2.1863015,2.9145622
2.909589,2.6561928
5.8547945,6.5858746
2.2630136,3.0279214
10.986301,13.335785
0.038356163,0.11803368
2.5753424,2.9373605
6.0684934,6.907295
2.7342465,2.3656116
6.879452,5.7515144
8.364384,7.6661735
3.1424658,7.9593163
3.6849315,8.127582
3.5205479,3.0692472
3.4547944,4.012203
6.3835616,6.6233306
1.8547945,2.069159
1.3726027,1.5143057
3.7945206,3.3648214
3.5671232,4.2547784
12.19726,13.855866
3.5863013,3.8156226
3.1972604,3.326487
7.210959,6.991844
6.7342467,6.6392126
7.7260275,6.637998
4.4082193,4.598633
4.90137,6.486904
8.112329,6.932961
3.0082192,3.9019923
14.742466,13.926612
2.1534247,1.7480618
3.2876713,4.08752
6.358904,8.65215
9.046576,9.038395
1.3315068,1.3578428
5.942466,7.2701483
2.1041095,2.3194003
12.142466,12.505796
3.0027397,3.1053028
4.6136985,6.0055933
9.70137,9.883144
1.860274,2.8185966
7.5945206,5.5904202
3.7479453,5.0452166
3.380822,3.7669787
