,Model,Age Group,Q1,Q3,IQR,Underestimating Outliers,Overestimating Outliers,Total Outliers,% Total Outliers,% Under,% Over,N Samples
0,AE4 (age),<60,-0.4543046750000004,2.3081114750000005,2.762416150000001,7,2,9,2.142857142857143,77.77777777777777,22.22222222222222,420
1,AE4 (age),60-65,-0.9154642499999998,1.6563012499999994,2.5717654999999993,6,5,11,3.170028818443804,54.54545454545455,45.45454545454545,347
2,AE4 (age),65-70,-0.8618160000000001,1.445492035,2.307308035,1,6,7,1.3182674199623352,14.285714285714286,85.71428571428571,531
3,AE4 (age),70+,-0.5178853999999999,1.6028004,2.1206858,10,25,35,4.801097393689986,28.571428571428573,71.42857142857143,729
4,CS CNN,<60,1.9746711849315068,5.4141150205479445,3.4394438356164376,2,5,7,1.639344262295082,28.571428571428573,71.42857142857143,427
5,CS CNN,60-65,1.1413278938356086,4.292253184931506,3.1509252910958976,0,6,6,1.7142857142857142,0.0,100.0,350
6,CS CNN,65-70,0.9760760273972573,3.699904428082186,2.7238284006849285,8,7,15,2.819548872180451,53.333333333333336,46.666666666666664,532
7,CS CNN,70+,0.4088328424657546,3.2051648458904083,2.796332003424654,8,9,17,2.328767123287671,47.05882352941177,52.94117647058823,730
8,LILAC,<60,0.2378783499999999,2.31156715,2.0736888,1,5,6,1.405152224824356,16.666666666666668,83.33333333333333,427
9,LILAC,60-65,-0.21585746500000003,1.4351472249999992,1.6510046899999993,8,0,8,2.2857142857142856,100.0,0.0,350
10,LILAC,65-70,-0.4549056055,1.2149262749999998,1.6698318804999999,4,0,4,0.7518796992481203,100.0,0.0,532
11,LILAC,70+,-0.3809504375000001,1.1365251249999997,1.5174755624999998,9,8,17,2.328767123287671,52.94117647058823,47.05882352941177,730
12,LILAC+,<60,-0.2774075500000004,1.5082589000000002,1.7856664500000006,7,11,18,4.215456674473068,38.888888888888886,61.111111111111114,427
13,LILAC+,60-65,-0.8306245000000003,0.7151832075000002,1.5458077075000005,6,5,11,3.142857142857143,54.54545454545455,45.45454545454545,350
14,LILAC+,65-70,-0.8986136,0.5285517750000001,1.427165375,3,6,9,1.6917293233082706,33.333333333333336,66.66666666666667,532
15,LILAC+,70+,-0.8529388999999998,0.5270142749999999,1.3799531749999998,9,6,15,2.0547945205479454,60.0,40.0,730
