Model,Target Interval Group,Q1,Q3,IQR,Mean Residual,Underestimating Outliers,Overestimating Outliers,Total Outliers,% Total Outliers,% Under,% Over,N Samples
AEM-4 (age),<1 (n=173),-1.2759024250000002,0.8138017575000001,2.0897041825000002,-0.11096833441520468,0,4,4,2.3391812865497075,0.0,100.0,171
AEM-4 (age),1–3 (n=570),-0.6699904499999999,1.3154184175,1.9854088675,0.30514295065438596,11,13,24,4.2105263157894735,45.833333333333336,54.166666666666664,570
AEM-4 (age),3–5 (n=591),-0.7088543000000003,1.606582725,2.3154370250000005,0.5330941091160409,4,8,12,2.04778156996587,33.333333333333336,66.66666666666667,586
AEM-4 (age),5+ (n=705),-0.5022217750000004,2.3418132499999995,2.844035025,0.973762879157143,8,6,14,2.0,57.142857142857146,42.857142857142854,700
CS CNN,<1 (n=173),-0.7326299178082161,1.177431164383567,1.9100610821917832,0.1863956744001895,4,2,6,3.468208092485549,66.66666666666667,33.333333333333336,173
CS CNN,1–3 (n=570),0.10102133561644172,2.1947932602739737,2.093771924657532,1.1434024819033886,9,5,14,2.456140350877193,64.28571428571429,35.714285714285715,570
CS CNN,3–5 (n=591),1.2699634589041033,3.463794746575346,2.1938312876712427,2.3356060533806184,6,7,13,2.1996615905245345,46.15384615384615,53.84615384615385,591
CS CNN,5+ (n=705),2.960202397260262,6.038331917808218,3.0781295205479564,4.492024409443311,2,7,9,1.2765957446808511,22.22222222222222,77.77777777777777,705
LILAC,<1 (n=173),-0.66134694,0.52934288,1.19068982,-0.06188656848786127,1,1,2,1.1560693641618498,50.0,50.0,173
LILAC,1–3 (n=570),-0.34043357500000004,0.931221075,1.2716546499999999,0.3071159229491228,8,8,16,2.807017543859649,50.0,50.0,570
LILAC,3–5 (n=591),-0.27442679999999986,1.32487895,1.5993057499999999,0.5070335881945854,5,2,7,1.1844331641285957,71.42857142857143,28.571428571428573,591
LILAC,5+ (n=705),0.09338170000000012,2.1354875,2.0421058,1.1182904761134753,10,8,18,2.5531914893617023,55.55555555555556,44.44444444444444,705
LILAC+,<1 (n=173),-1.118061674,-0.039648550000000005,1.078413124,-0.6011736684565896,0,0,0,0.0,,,173
LILAC+,1–3 (n=570),-0.7916841249999997,0.4100543649999999,1.2017384899999997,-0.2054634349473684,7,2,9,1.5789473684210527,77.77777777777777,22.22222222222222,570
LILAC+,3–5 (n=591),-0.71240215,0.7011699,1.41357205,-0.07403120079526226,10,2,12,2.030456852791878,83.33333333333333,16.666666666666668,591
LILAC+,5+ (n=705),-0.6742137999999995,1.4159187999999991,2.0901325999999987,0.33254898107517733,9,8,17,2.4113475177304964,52.94117647058823,47.05882352941177,705
