filename,path,channels,depth,height,width,spacing_z,spacing_y,spacing_x
sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0129/sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0757_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0757/sub-OAS30001_ses-d0757_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0129/sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d2430_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d2430/sub-OAS30001_ses-d2430_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0129/sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d3132_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d3132/sub-OAS30001_ses-d3132_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0129/sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d3746_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d3746/sub-OAS30001_ses-d3746_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0129/sub-OAS30001_ses-d0129_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d4467_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d4467/sub-OAS30001_ses-d4467_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d0757_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d0757/sub-OAS30001_ses-d0757_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
sub-OAS30001_ses-d2430_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,/mimer/NOBACKUP/groups/brainage/data/oasis3/derivatives/mriprep/sub-OAS30001/ses-d2430/sub-OAS30001_ses-d2430_space-MNI152NLin2009cAsym_desc-brain_T1w.nii.gz,1,193,229,193,1.0,1.0,1.0
