,All,M,F
"PCC(pred,target)",0.8033148095881615,0.7651426944866542,0.8227255609047643
"p(pred,target)",0.0,1.1159903139704894e-133,6.271569604108406e-282
MAE,1.458040190498199,1.3951983542797102,1.496009426041769
SD MAE,1.3648042082410807,1.5133976879022832,1.2650912906972247
mean res,0.6122911166313866,0.6548003121144929,0.5866069267160244
"PCC(age,res)",-0.21164035300466147,-0.24688338509257962,-0.190882417000919
"p(age,res)",5.369276996160662e-20,4.852687247184812e-11,7.852193629578346e-11
"PCC(target,res)",0.32123190334359886,0.44544923716233437,0.24941256828876637
"p(target,res)",3.039017960682637e-45,6.144284178454576e-35,1.180317513653972e-17
"PCC(sex(M),res)",0.01738201238811002,,
"p(sex(M),res)",0.4571602610757549,,
"Mean pace (all,>=1,>=5)",2.8262896768013226,0.8821198612880751,0.8389243204919538
"SD pace (all,>=1,>=5)",28.865899844208172,0.48262753134320724,0.27881182025033363
"PCC(pace,target), >= 1y",-0.07027962848155189,,
"p(pace,target), >= 1y",0.0036710215532912635,,
