,All,M,F
"PCC(pred,target)",0.9419442697818209,0.9439204908638335,0.9409939325874117
"p(pred,target)",0.0,6.249867687266892e-252,0.0
MAE,0.795100868422021,0.7683715674894435,0.810337154839825
SD MAE,0.6728056490185169,0.6417204864901062,0.6894348578139672
mean res,0.24673007701017421,0.2644603203071017,0.2366234503606127
"PCC(age,res)",-0.2735606154482679,-0.27270725591460926,-0.2757318256709177
"p(age,res)",4.774614124138471e-26,2.4503763298575583e-10,2.0708622382489615e-17
"PCC(target,res)",0.36481899385748917,0.44476901005019664,0.3269656356252878
"p(target,res)",2.0751718711330378e-46,1.1254067588916435e-26,3.2541092913586965e-24
"PCC(sex(M),res)",0.0132286442208597,,
"p(sex(M),res)",0.6165789644408857,,
