,All,M,F
MSE,5.558038067516049,4.656441956884208,6.131450283155992
MAE,1.6398208881825358,1.5638877531903557,1.6881141168942695
SD MAE,1.6938198021620505,1.4868413003092933,1.8115521001335493
mean res,0.5668392008090773,0.6285925260862945,0.527564285297821
"PCC(pred,target)",0.7059467086711515,0.7250328038863831,0.6952729257675091
"p(pred,target)",1.1119507331010098e-305,1.9587848139462947e-129,1.2497598386027145e-179
R2,0.45408086994383445,0.45640672771502555,0.44964394608651914
"PCC(age,res)",-0.024901234723934833,-0.054223781014557305,-0.010716328387557823
"p(age,res)",0.26246200573449907,0.12830081511715644,0.7062934371126838
"PCC(target,res)",0.15726099209921032,0.21566815331683115,0.1292617350228576
"p(target,res)",1.0775709365843702e-12,9.558970603467038e-10,5.006650943826473e-06
Mann-Whitney (H0=same),509754.0,0.09284373688253701,
"Mean pace (>=1,>=3,>=5)",0.8524590741589482,0.8611772377677208,0.8627912797619222
"SD pace (>=1,>=3,>=5)",1.281345153530224,0.56672243480483,0.35039159430939976
"PCC(pace,target), >= 1y",-0.043547327968568667,,
"p(pace,target), >= 1y",0.2926079886650261,,
Mean adj residuals,0.1408914712091432,,
SD adj residuals,0.8074408883120541,,
"r(adj_res,age), >= 1y",0.03166311371761664,,
p,0.823052023375448,,
"r(adj_res,target), >= 1y",-0.005194142353689181,,
