,All,M,F
"PCC(pred,target)",0.7658940686345859,0.7205160267219257,0.8288114000715308
"p(pred,target)",1.394278599554158e-82,1.9771609672778467e-42,5.8952114523346865e-43
MAE,1.6354682037772512,1.6522096420466927,1.6093921453818183
SD MAE,1.6979106810630005,1.7606963735367518,1.5948526500507585
mean res,-0.618349174985782,-0.3695077327003891,-1.0059385729696968
"PCC(age,res)",0.021903445822963833,-0.030684445965182643,-0.024557736179774484
"p(age,res)",0.6536670023844324,0.6243982344352447,0.75420550994622
"PCC(target,res)",-0.012546351883581592,0.026407860116811118,-0.06034714692428954
"p(target,res)",0.7971935860990234,0.6734922365005976,0.4413104799653067
"PCC(sex(M),res)",0.13651472013718763,,
"p(sex(M),res)",0.004966212511611479,,
"Mean pace (all,>=1,>=5)",1.9781405796430909,1.1963006229793696,1.0736164638804235
"SD pace (all,>=1,>=5)",10.450628571469842,0.7951022046670811,0.3644785761541363
"PCC(pace,target), >= 1y",-0.12144924308140181,,
"p(pace,target), >= 1y",0.014830473708599533,,
