,All,M,F
MSE,12.758523829492882,12.086923896153921,13.188607133545833
MAE,2.8623576492841645,2.763055841106216,2.92594915315355
SD MAE,2.136687276387754,2.1100820635896462,2.15114590084119
mean res,2.56557442499345,2.416777046069388,2.6608622074741843
"PCC(pred,target)",0.45228086938664086,0.43063807359478495,0.4656396044672581
"p(pred,target)",2.295847782896023e-103,2.818007239217352e-37,6.709595492110751e-68
R2,-2.0610898472533563,-1.9086192960874833,-2.159554722388587
"PCC(age,res)",-0.31159749609919357,-0.2559829660123947,-0.3450797695495166
"p(age,res)",3.751929965376278e-47,2.2447757134647585e-13,4.4418614537503994e-36
"PCC(target,res)",0.6805985564298468,0.6768141222040204,0.6817718675587199
"p(target,res)",1.64600248916247e-277,9.86025049300097e-108,1.1446803635628167e-170
Mann-Whitney (H0=same),464374.0,0.019318258149797346,
"Mean pace (>=1,>=3,>=5)",0.4846409331403235,0.3682634148468429,0.37480282415446287
"SD pace (>=1,>=3,>=5)",0.8607501155203348,0.4757347439459481,0.2921476312330873
"PCC(pace,target), >= 1y",0.086728649787314,,
"p(pace,target), >= 1y",0.03503743316299563,,
Mean adj residuals,0.593716505309022,,
SD adj residuals,0.5770204673827724,,
"r(adj_res,age), >= 1y",-0.2041610027993187,,
p,0.006440659278716955,,
"r(adj_res,target), >= 1y",0.06304976865050888,,
