,All,M,F
"PCC(pred,target)",0.37133915690706015,0.38240544258551856,0.3613228540440185
"p(pred,target)",3.4157625194987577e-16,1.1043133794653553e-08,7.101645547477028e-09
MAE,3.085422091607691,2.978164148653077,3.1780539514321298
SD MAE,2.267180182416145,2.2583828450812793,2.270676922745525
mean res,2.766446120280655,2.6392743260142884,2.8762763062379713
"PCC(age,res)",-0.3288838647391096,-0.36124315010824026,-0.33269319609198944
"p(age,res)",7.759650507561807e-13,7.714622119781601e-08,1.1551433997190057e-07
"PCC(target,res)",0.710639395121252,0.7139936611206245,0.7064802315205178
"p(target,res)",1.4461371178925523e-70,6.959757970039672e-34,6.747351371935118e-38
"PCC(sex(M),res)",-0.044647705646210754,,
"p(sex(M),res)",0.34414189645925863,,
"Mean pace (all,>=1,>=5)",-1.7402021415394435,0.3542878037395605,0.3328792379763003
"SD pace (all,>=1,>=5)",34.08914015751824,0.6141202380886134,0.287201347965106
"PCC(pace,target), >= 1y",-0.045054850773520276,,
"p(pace,target), >= 1y",0.3616642929250682,,
