,All,M,F
MSE,2.28073289849094,2.2062215026021064,2.3284489653674583
MAE,1.1558018740331535,1.1247082271017588,1.175713815269992
SD MAE,0.9720364841261826,0.970181893508493,0.9727003597977834
mean res,0.614223313396567,0.5362076862022613,0.6641834415113436
"PCC(pred,target)",0.8571936100514361,0.8493511026913265,0.8618369478998508
"p(pred,target)",0.0,1.5197441230696783e-222,0.0
R2,0.6469240121921611,0.6366684385586752,0.6521953018328697
"PCC(age,res)",-0.2472606783258227,-0.21769815872128012,-0.26488943103761675
"p(age,res)",8.83065228523289e-30,5.401913042812295e-10,2.10297788650878e-21
"PCC(target,res)",0.31614844733219455,0.3439395219892098,0.29584346326351385
"p(target,res)",1.4663922581196595e-48,1.6028950551246517e-23,1.577378538666211e-26
Mann-Whitney (H0=same),471692.0,0.07588526744758746,
"Mean pace (>=1,>=3,>=5)",0.8552038219379031,0.8653225924147551,0.8451567827211891
"SD pace (>=1,>=3,>=5)",0.534059330950596,0.33142200454581305,0.23933868752934362
"PCC(pace,target), >= 1y",-0.02128651207581697,,
"p(pace,target), >= 1y",0.605541191236133,,
Mean adj residuals,0.1453872655733316,,
SD adj residuals,0.3789803743956377,,
"r(adj_res,age), >= 1y",-0.1644894022112346,,
p,0.44505522740245285,,
"r(adj_res,target), >= 1y",0.01768949110174881,,
