,All,M,F
"PCC(pred,target)",0.7595530282057121,0.723145702023221,0.7781719589698813
"p(pred,target)",0.0,2.4865723110318237e-141,1.1896884552191392e-299
MAE,1.4297618880579848,1.3817604561868664,1.458028674261601
SD MAE,1.6484571699234276,1.7235830765789666,1.601898000896891
mean res,0.22076510445678907,0.3074430772329493,0.16972271614626863
"PCC(age,res)",-0.24807039760821648,-0.25568108955267044,-0.24377650104622792
"p(age,res)",3.523365963281752e-34,2.017931532771959e-14,2.2042850399478584e-21
"PCC(target,res)",0.27251677002665253,0.4048103495816569,0.1992898020942106
"p(target,res)",3.7052446673852384e-41,1.4707079664921434e-35,1.1418429032399114e-14
"PCC(sex(M),res)",0.030639105538253084,,
"p(sex(M),res)",0.13825733727591474,,
"Mean pace (all,>=1,>=5)",3.008532610969032,0.9943215482688802,0.9006457975029443
"SD pace (all,>=1,>=5)",25.864008765234725,0.564139599072494,0.296956107593728
"PCC(pace,target), >= 1y",-0.15739889621713393,,
"p(pace,target), >= 1y",1.2670801424708433e-13,,
