,All,M,F
MSE,1.8253983605514466,1.8609493437706965,1.8026320028342122
MAE,0.990228124434919,0.9967614618448493,0.9860442655625905
SD MAE,0.9191553851931398,0.9313516693234708,0.9112347168459635
mean res,0.12115477327699856,0.1347317339742462,0.11246027551753822
"PCC(pred,target)",0.871138290645495,0.8580485673191378,0.8785868331573917
"p(pred,target)",0.0,5.411681053835163e-232,0.0
R2,0.7459523955706345,0.707738799551751,0.764846841620211
"PCC(age,res)",-0.14021857837499288,-0.14033654294377199,-0.14054732332516576
"p(age,res)",2.0285036169005384e-10,7.102218157696954e-05,6.528384044138203e-07
"PCC(target,res)",0.20784668247703178,0.29774993846725883,0.15232760886350413
"p(target,res)",2.4620566786810205e-21,9.261378075297532e-18,6.791095570520524e-08
Mann-Whitney (H0=same),502923.0,0.5267873862352033,
"Mean pace (>=1,>=3,>=5)",1.0447651463491034,0.9864330687412868,0.9378609229152945
"SD pace (>=1,>=3,>=5)",0.45196535061459264,0.3133934537418628,0.2529325944448108
"PCC(pace,target), >= 1y",-0.053541525712197516,,
"p(pace,target), >= 1y",0.1936703607629323,,
Mean adj residuals,0.014099663611804859,,
SD adj residuals,0.34584140064325464,,
"r(adj_res,age), >= 1y",-0.1261991944024377,,
p,3.0824593919216684e-08,,
"r(adj_res,target), >= 1y",0.12773255933606692,,
