,All,M,F
MSE,2.0254343956191176,1.664100318151129,2.8926361815422896
MAE,1.0843486289705881,0.973468255625,1.3504615249999998
SD MAE,0.9217496658359705,0.8464395273388102,1.0338712932647685
mean res,-0.681419685735294,-0.4738341985416666,-1.1796248549999997
"PCC(pred,target)",0.8610992321863437,0.8695025405865523,0.8645303918863029
"p(pred,target)",4.6229377217847415e-21,1.0829354473439444e-15,8.833184807756292e-07
R2,0.6641734390874139,0.717436594779002,0.5132495945527689
"PCC(age,res)",0.20526742482633592,0.243677010800309,-0.16956064954534786
"p(age,res)",0.09310730600737727,0.09511618777890415,0.4748112686588803
"PCC(target,res)",-0.03569995959085221,-0.044076570826174305,-0.006252395592138643
"p(target,res)",0.7725633077501037,0.7661103649493273,0.9791287378227196
Mann-Whitney (H0=same),634.0,0.038824650970229184,
"Mean pace (>=1,>=3,>=5)",1.2824492318302152,1.2203863796216512,1.1182143769363908
"SD pace (>=1,>=3,>=5)",0.47983325184498116,0.37236208177288865,0.2476577845749169
"PCC(pace,target), >= 1y",-0.07139965763257375,,
"p(pace,target), >= 1y",0.7714598884978703,,
Mean adj residuals,-0.22404942704848382,,
SD adj residuals,0.40845098002521574,,
"r(adj_res,age), >= 1y",0.15814165832456084,,
p,0.1905408524371639,,
"r(adj_res,target), >= 1y",0.16068258375435682,,
