,All,M,F
"PCC(pred,target)",0.8264855710339979,0.7970656803062947,0.8416990217864956
"p(pred,target)",0.0,6.956596832838136e-192,0.0
MAE,1.2461535337918446,1.233360304684908,1.2536871313934872
SD MAE,1.2505662672127815,1.3700952841960898,1.1744364685806763
mean res,0.23888374241182753,0.24235763834158988,0.23683805607055633
"PCC(age,res)",-0.1470301728913036,-0.14574806487747125,-0.1480324783524198
"p(age,res)",8.646008163474881e-13,1.6262282955923406e-05,1.1295489284204649e-08
"PCC(target,res)",0.3669044583609435,0.45579157505519735,0.3138042466226952
"p(target,res)",1.5283559633393555e-75,9.5656419193432e-46,4.818486438954424e-35
"PCC(sex(M),res)",0.0015240001557047572,,
"p(sex(M),res)",0.9412383888746271,,
"Mean pace (all,>=1,>=5)",3.3429155888686997,0.9996647602530145,0.8959834090938217
"SD pace (all,>=1,>=5)",29.2932300810768,0.44797170524682656,0.26251954548535633
"PCC(pace,target), >= 1y",-0.23903012848878713,,
"p(pace,target), >= 1y",7.671745575522748e-30,,
