,All,M,F
"PCC(pred,target)",0.8598524691643792,0.8671913831782058,0.8566819309146746
"p(pred,target)",0.0,1.2484994999902316e-242,0.0
MAE,0.9927124991373271,0.9676683508362688,1.0087504251611745
SD MAE,0.9940303823071255,0.8715958707958799,1.0647594285626252
mean res,-0.014920358300632637,0.04592857432119346,-0.053887172755156885
"PCC(age,res)",-0.16212766214555174,-0.1688709693488302,-0.1593512544859643
"p(age,res)",1.768687643173133e-13,1.6562086387767173e-06,1.6176136625149185e-08
"PCC(target,res)",0.21751730990922172,0.33064370872962645,0.15906333313854248
"p(target,res)",2.925269589198552e-23,9.261735048782139e-22,1.7177685040286984e-08
"PCC(sex(M),res)",0.034663440491940464,,
"p(sex(M),res)",0.11764200671437602,,
"Mean pace (all,>=1,>=5)",5.714640068425649,1.0281543724622493,0.9563029342291287
"SD pace (all,>=1,>=5)",40.418523661569004,0.3636598438837938,0.2538277549711668
"PCC(pace,target), >= 1y",-0.18942721212781105,,
"p(pace,target), >= 1y",1.55679291171701e-16,,
