,All,M,F
MSE,6.838096637995288,6.640285657836073,6.964772052481802
MAE,2.1216167050737407,2.1008082532970853,2.134942149654769
SD MAE,1.5286723634406854,1.492276898137515,1.5513845655121343
mean res,0.00048159925706993514,-0.1876319889063462,0.12094693809703716
"PCC(pred,target)",-0.014863742567548825,-0.06175425181511327,0.006111576105150398
"p(pred,target)",0.5023466433170015,0.08164398018637654,0.8295675715828016
R2,-0.0001339862302345285,-0.005848778668641197,-0.002072123838520623
"PCC(age,res)",-0.1910573734865636,-0.16888094875980433,-0.20348579946750203
"p(age,res)",3.2539572238032045e-18,1.6538384120599798e-06,4.3943258415405175e-13
"PCC(target,res)",0.999992104049034,0.9999918552513404,0.9999923282094981
"p(target,res)",0.0,0.0,0.0
Mann-Whitney (H0=same),461195.0,0.009753456159567802,
"Mean pace (>=1,>=3,>=5)",2.1322146246997926,1.1442462994104996,0.6142669092540423
"SD pace (>=1,>=3,>=5)",0.7028529542491034,0.16430668195146292,0.13065523819050834
"PCC(pace,target), >= 1y",-0.9908096064996164,,
"p(pace,target), >= 1y",0.0,,
"Adjusted res (>=1,>=3,>=5)",-1.1322146246997926,-0.14424629941049955,0.38573309074595774
