,All,M,F
"PCC(pred,target)",0.8333276979611669,0.7927126057869956,0.8544072989070366
"p(pred,target)",0.0,2.3978830196970668e-188,0.0
MAE,1.2418490006618275,1.268397124746544,1.2262155056105837
SD MAE,1.2097425219069877,1.3629305130356282,1.1093875852115849
mean res,-0.023986446999146014,0.05629533940092165,-0.071262288651289
"PCC(age,res)",-0.16017532435957296,-0.15566402169163124,-0.1638143642932454
"p(age,res)",6.298701307103116e-15,4.072365407310441e-06,2.5041817326046516e-10
"PCC(target,res)",0.32012404609010575,0.4227572780061458,0.259589175867279
"p(target,res)",5.920155941463789e-57,6.00556805257628e-39,3.981762107685438e-24
"PCC(sex(M),res)",0.035538522349406326,,
"p(sex(M),res)",0.08552630651016621,,
"Mean pace (all,>=1,>=5)",3.4294170270632724,1.0635355779992197,0.9438361907282558
"SD pace (all,>=1,>=5)",25.3582453172569,0.45173887297000437,0.2696589763569717
"PCC(pace,target), >= 1y",-0.2666656781016118,,
"p(pace,target), >= 1y",5.493669902281442e-37,,
